time (μs),ω_guess (π/sec),ω_opt (π/sec)
135.000000,48.776384,19.984636
135.150000,48.800536,21.246599
135.300000,48.824454,22.471140
135.450000,48.848137,23.658609
135.600000,48.871584,24.809392
135.750000,48.894796,25.923904
135.900000,48.917772,27.002591
136.050000,48.940512,28.045928
136.200000,48.963015,29.054418
136.350000,48.985282,30.028587
136.500000,49.007313,30.968986
136.650000,49.029106,31.876187
136.800000,49.050662,32.750782
136.950000,49.071981,33.593382
137.100000,49.093062,34.404616
137.250000,49.113906,35.185125
137.400000,49.134511,35.935565
137.550000,49.154878,36.656606
137.700000,49.175007,37.348925
137.850000,49.194898,38.013211
138.000000,49.214549,38.650157
138.150000,49.233962,39.260464
138.300000,49.253135,39.844838
138.450000,49.272069,40.403987
138.600000,49.290763,40.938620
138.750000,49.309218,41.449447
138.900000,49.327433,41.937180
139.050000,49.345407,42.402524
139.200000,49.363142,42.846184
139.350000,49.380636,43.268861
139.500000,49.397889,43.671248
139.650000,49.414901,44.054036
139.800000,49.431673,44.417905
139.950000,49.448203,44.763528
140.100000,49.464492,45.091571
140.250000,49.480540,45.402686
140.400000,49.496346,45.697520
140.550000,49.511910,45.976705
140.700000,49.527233,46.240863
140.850000,49.542313,46.490603
141.000000,49.557151,46.726522
141.150000,49.571747,46.949203
141.300000,49.586100,47.159217
141.450000,49.600210,47.357119
141.600000,49.614078,47.543451
141.750000,49.627703,47.718740
141.900000,49.641084,47.883499
142.050000,49.654223,48.038227
142.200000,49.667118,48.183405
142.350000,49.679770,48.319502
142.500000,49.692178,48.446970
142.650000,49.704342,48.566247
142.800000,49.716263,48.677756
142.950000,49.727940,48.781905
143.100000,49.739372,48.879086
143.250000,49.750561,48.969677
143.400000,49.761505,49.054042
143.550000,49.772205,49.132530
143.700000,49.782660,49.205476
143.850000,49.792871,49.273200
144.000000,49.802837,49.336011
144.150000,49.812558,49.394201
144.300000,49.822034,49.448052
144.450000,49.831266,49.497832
144.600000,49.840252,49.543794
144.750000,49.848993,49.586184
144.900000,49.857489,49.625231
145.050000,49.865740,49.661155
145.200000,49.873745,49.694165
145.350000,49.881504,49.724458
145.500000,49.889018,49.752222
145.650000,49.896287,49.777632
145.800000,49.903310,49.800857
145.950000,49.910086,49.822054
146.100000,49.916617,49.841372
146.250000,49.922903,49.858950
146.400000,49.928942,49.874920
146.550000,49.934735,49.889406
146.700000,49.940282,49.902523
146.850000,49.945583,49.914379
147.000000,49.950637,49.925076
147.150000,49.955446,49.934708
147.300000,49.960008,49.943364
147.450000,49.964324,49.951124
147.600000,49.968393,49.958065
147.750000,49.972216,49.964257
147.900000,49.975793,49.969765
148.050000,49.979123,49.974647
148.200000,49.982206,49.978959
148.350000,49.985043,49.982750
148.500000,49.987633,49.986066
148.650000,49.989977,49.988946
148.800000,49.992074,49.991428
148.950000,49.993924,49.993543
149.100000,49.995528,49.995320
149.250000,49.996885,49.996783
149.400000,49.997995,49.997952
149.550000,49.998859,49.998844
149.700000,49.999476,49.999472
149.850000,49.999861,49.999861
150.000000,50.000000,50.000000
