time (μs),ω_guess (π/sec),ω_opt (π/sec)
27.600000,4.061825,250.597932
27.750000,4.104842,251.360111
27.900000,4.148065,252.019568
28.050000,4.191494,252.575653
28.200000,4.235128,253.027840
28.350000,4.278967,253.375727
28.500000,4.323011,253.619038
28.650000,4.367259,253.757625
28.800000,4.411710,253.791463
28.950000,4.456365,253.720657
29.100000,4.501223,253.545433
29.250000,4.546282,253.266145
29.400000,4.591544,252.883269
29.550000,4.637007,252.397406
29.700000,4.682671,251.809275
29.850000,4.728535,251.119718
30.000000,4.774600,250.335893
30.150000,4.820864,249.502053
30.300000,4.867328,248.661969
30.450000,4.913990,247.821868
30.600000,4.960850,246.981750
30.750000,5.007908,246.141616
30.900000,5.055164,245.301469
31.050000,5.102616,244.461307
31.200000,5.150265,243.621134
31.350000,5.198109,242.780948
31.500000,5.246149,241.940752
31.650000,5.294384,241.100547
31.800000,5.342813,240.260332
31.950000,5.391437,239.420111
32.100000,5.440254,238.579882
32.250000,5.489264,237.739649
32.400000,5.538466,236.899410
32.550000,5.587861,236.059168
32.700000,5.637447,235.218924
32.850000,5.687225,234.378678
33.000000,5.737193,233.538431
33.150000,5.787351,232.698185
33.300000,5.837698,231.857941
33.450000,5.888235,231.017699
33.600000,5.938961,230.177461
33.750000,5.989874,229.337227
33.900000,6.040976,228.497000
34.050000,6.092264,227.656779
34.200000,6.143739,226.816566
34.350000,6.195400,225.976361
34.500000,6.247246,225.136167
34.650000,6.299278,224.295984
34.800000,6.351494,223.455812
34.950000,6.403895,222.615654
35.100000,6.456479,221.775511
35.250000,6.509245,220.935382
35.400000,6.562195,220.095270
35.550000,6.615326,219.255175
35.700000,6.668639,218.415100
35.850000,6.722133,217.575044
36.000000,6.775807,216.735008
36.150000,6.829661,215.894995
36.300000,6.883694,215.055005
36.450000,6.937906,214.215039
36.600000,6.992297,213.375099
36.750000,7.046865,212.535185
36.900000,7.101610,211.695298
37.050000,7.156532,210.855441
37.200000,7.211630,210.015614
37.350000,7.266904,209.175818
37.500000,7.322352,208.336054
