τ_vals,μ=0.5,μ=0.8,μ=0.9,μ=1.0
1360.0,0.29607502234499905,0.003942653642484773,0.004668894704511569,0.003942653799820896
1360.066552902,0.3742017190567874,2.4717700600843586e-6,0.000748318015257222,2.47083717272537e-6
1360.133105804,0.3087818048792762,0.003558702226438126,0.004285578617843472,0.003558702507592921
1360.199658706,0.28574804955203026,0.014558027106121845,0.015295938840690084,0.014558023745656446
1360.266211608,0.38466372905271823,0.03283553425545639,0.03355255415442472,0.03283553170062579
1360.33276451,0.3540253839161616,0.058117190836457,0.05875700478321403,0.058117194033008454
1360.399317412,0.30956011599850836,0.09002395242618097,0.09070016452437804,0.0900239447188951
1360.465870314,0.4200843511322007,0.1280774429615033,0.1287032394399665,0.12807743678735756
1360.532423216,0.4271519584120368,0.17170713042976704,0.1721968031247544,0.17170713524958683
1360.598976118,0.3635317434100922,0.22025888090588883,0.22080988578972183,0.22025886837534253
1360.66552902,0.4751554574447914,0.27300476096169973,0.27348978480933994,0.27300474955843984
1360.732081922,0.5196747307413998,0.3291539570613321,0.32944829380322177,0.32915396230381283
1360.798634824,0.4399177515570368,0.38786463227000323,0.38824500015400454,0.38786461489532564
1360.865187726,0.5417235808612572,0.4482565408013486,0.44857088749596735,0.4482565231353124
1360.931740628,0.6204335850288699,0.5094242328640102,0.5095021019598109,0.5094242375604534
1360.99829353,0.5282701383738004,0.5704506304026751,0.5706387695505375,0.5704506086664225
1361.064846432,0.60993803214705,0.6304207677783844,0.6305582822611222,0.6304207435134523
1361.131399334,0.7170083296815335,0.6884355185308231,0.6883029120488018,0.6884355220398479
1361.197952236,0.6168405019121264,0.7436250769578536,0.7436257943846972,0.7436250518286545
1361.264505138,0.6696385452829422,0.7951619882728108,0.7951411151668175,0.7951619578105227
1361.33105804,0.7973110883147981,0.842273564181608,0.841963118585086,0.8422735662288616
1361.397610942,0.694134275994126,0.8842534697119055,0.884097015522673,0.8842534425606859
1361.464163844,0.7117918659383384,0.9204723009615605,0.9203335585523392,0.9204722653957318
1361.530716746,0.8511498644000911,0.950387031665403,0.9499540536983426,0.95038703232492
1361.597269648,0.7504103585361048,0.9735491578122765,0.9732869047824928,0.973549130269668
1361.66382255,0.7297796004155892,0.989611408622066,0.9894118226429074,0.989611369614185
1361.730375452,0.8715580376625237,0.9983329630034093,0.9978484687848216,0.9983329626263929
1361.796928354,0.7789285058957194,0.999583064330482,0.9992804207553319,0.9995830381014968
1361.8634812560001,0.720359370818221,0.9933429667991406,0.9931482130567313,0.9933429263904816
1361.930034158,0.8557144390305463,0.9797062258156213,0.9792478974400313,0.9797062249198725
1361.99658706,0.7767818650728646,0.9588773004617551,0.9586048193125027,0.9588772771200291
1362.063139962,0.68416525159508,0.9311684738813953,0.9310437913440026,0.9311684342650548
1362.129692864,0.8053318027583011,0.8969951796806507,0.8966374209589894,0.8969951788193311
1362.196245766,0.7452084483135459,0.85686977926717,0.8566936618779971,0.8568697600550476
1362.262798668,0.6256757037790885,0.8113938662988243,0.8113949722214101,0.8113938295797779
1362.32935157,0.7264608201521897,0.7612492543496385,0.761053648667661,0.7612492539805066
1362.395904472,0.6893456097396776,0.7071877608405938,0.7071610277071815,0.7071877465006683
1362.462457374,0.5526494112500828,0.6500199223417685,0.650185165197836,0.65001989031364
1362.529010276,0.6287335596752227,0.5906028482547118,0.5906102705915394,0.5906028486305575
1362.595563178,0.6174662287908108,0.5298273765798887,0.5299828819303266,0.5298273672414536
1362.66211608,0.4751018386888319,0.46860470637358076,0.4689495299169587,0.4686046803384833
1362.728668982,0.5241435586372493,0.40785274082985423,0.40807815936668096,0.4078527419275434
1362.795221884,0.5398043516262847,0.34848233121781097,0.3488285451255985,0.3484823263543926
1362.861774786,0.4039582031831326,0.2913836110751644,0.2918980952508591,0.29138359172668604
1362.928327688,0.4255207057071354,0.23741265391819855,0.23784330299827616,0.23741265541749845
1362.99488059,0.4671322792262085,0.18737864331097867,0.18789874952696747,0.18737864177700533
1363.061433492,0.3495633719794262,0.14203173345774414,0.14268156612714444,0.1420317208392525
1363.1279863940001,0.34489907518455243,0.10205180462976998,0.10264896694308523,0.10205180594574789
1363.194539296,0.40928331803324425,0.06803827351562892,0.06869268350506515,0.06803827366021897
1363.261092198,0.32024986475493195,0.04050110115435251,0.041231873748166656,0.04050109469468113
1363.3276451,0.2919898469333525,0.019853148803033367,0.020557309392487923,0.01985314916761242
1363.394198002,0.37382039115547655,0.006403989986244639,0.007135914024709117,0.006403989832273338
1363.460750904,0.3211587771792168,0.00035526630884323275,0.0010995383157119901,0.0003552649279903625
1363.527303806,0.2729575070396187,0.0017976655935930232,0.0025363566088725275,0.0017976641742333218
1363.593856708,0.36502973854281406,0.010709562189045979,0.011452868440162505,0.01070955965718572
1363.66040961,0.35347580186760413,0.02695734063751028,0.02764354244776723,0.026957342906253963
1363.726962512,0.289657528336453,0.05029740034620572,0.05099470218838187,0.050297396383896326
1363.793515414,0.3833739220809019,0.080379805558746,0.08106809270524251,0.08037979871011257
1363.860068316,0.41418988066115414,0.11675353336995353,0.11731552496365759,0.11675353770109119
1363.926621218,0.3394329825184914,0.1588732376757226,0.15945968602990734,0.15887323062113007
1363.99317412,0.425475423932078,0.2061074208328577,0.206683069835437,0.2061074081010991
1364.059727022,0.4964126196495549,0.25774790478168336,0.258133913206709,0.2577479096273533
1364.126279924,0.4154940863703286,0.3130204512862971,0.31344204903742034,0.3130204409125975
1364.192832826,0.4846298039018048,0.3710963630368001,0.37151834017626006,0.37109634342131803
1364.259385728,0.590221676772742,0.4311049126406358,0.43128464729589205,0.43110491667039536
1364.32593863,0.5078282576611034,0.49214640105775076,0.4923715557058646,0.4921463875315412
1364.3924915320001,0.5517754299536658,0.5533056375266656,0.5535549928935881,0.553305610723137
1364.459044434,0.6839209007975909,0.6136656662205309,0.6136346479737347,0.6136656684583094
1364.525597336,0.6045189566391489,0.6723215190566746,0.6723450036007508,0.6723215029538717
1364.592150238,0.6167849148180554,0.7283937727476757,0.7284760924286688,0.7283937391994477
1364.65870314,0.765553500115823,0.7810417395983968,0.7808222465224,0.7810417395028219
1364.725256042,0.6932985607080886,0.8294760781844115,0.8293195094640743,0.8294760604456408
1364.791808944,0.669899911870102,0.8729706154087837,0.8729150993724498,0.872970576272384
1364.858361846,0.8244695579910998,0.9108732395004973,0.9105117199007042,0.9108732369811201
1364.924914748,0.7631307325422582,0.9426156848218492,0.942324475210323,0.9426156666504983
1364.99146765,0.7031116901216561,0.9677220383158799,0.9675773336614661,0.9677219953442495
1365.058020552,0.8527405417765899,0.9858158799560262,0.985377152840776,0.9858158753270712
1365.124573454,0.8056150677568943,0.9966259353432327,0.9962631400121051,0.9966259180574959
1365.191126356,0.7112974967473208,0.999990128902793,0.9998174880635545,0.9999900842601145
1365.257679258,0.8462323374655729,0.9958580182752126,0.9954170099460258,0.995858012156625
