τ_vals,μ=0.5,μ=0.8,μ=0.9,μ=1.0
1360.0,0.24483106875854888,0.0443008311812738,0.015810328189380194,0.003942652383641308
1360.066552902,0.9123229703891981,0.13119188072593754,0.022613937082210933,2.4701039825850394e-6
1360.133105804,0.3451678240294778,0.06036246387396124,0.017969297787185763,0.003558701013541167
1360.199658706,0.198696701564391,0.011416838954012538,0.013523107754198667,0.014558024547722188
1360.266211608,0.8902832211685768,0.13877532245524704,0.04824951121740403,0.03283553201320395
1360.33276451,0.3989498396956938,0.1418062681763532,0.0807554207937586,0.05811719075278608
1360.399317412,0.16075472738235758,0.02468145169567303,0.07069912293512148,0.09002394831335578
1360.465870314,0.8413012450338719,0.17370981985329337,0.12646538968289092,0.1280774394516335
1360.532423216,0.4473411434411901,0.2580299951488716,0.19564650851854798,0.17170713104340968
1360.598976118,0.13507029837389786,0.07992731384536947,0.17893592411192327,0.22025887510659203
1360.66552902,0.7695761405410747,0.2300306771025658,0.24645057580464866,0.27300475562643284
1360.732081922,0.4868555776106501,0.39699042690204167,0.34836167683057395,0.3291539579619098
1360.798634824,0.12524831764319005,0.16794363301976284,0.32316288547455274,0.38786462480729444
1360.865187726,0.681209635859404,0.2984840249065246,0.3917037572895153,0.4482565332812264
1360.931740628,0.5150084911172561,0.5433819990685983,0.5194979286603526,0.5094242337100555
1360.99829353,0.13404289711152303,0.27577645352559743,0.48367498648395807,0.5704506214683707
1361.064846432,0.5836301404446191,0.36789577988313965,0.5422747770735022,0.6304207579540797
1361.131399334,0.5303561989487647,0.6805003876808527,0.6870706875970439,0.6884355190827576
1361.197952236,0.162993077739033,0.38848044236126844,0.6387721545672752,0.7436250669044722
1361.264505138,0.4848933235742968,0.4268254882738309,0.6774746779049335,0.7951619762793054
1361.33105804,0.5324382299654392,0.7923178812616721,0.8294062520269931,0.8422735643166487
1361.397610942,0.2121321813605172,0.4910872510081485,0.7676513118907502,0.8842534590225056
1361.464163844,0.3929316908152528,0.46527232630598125,0.7786889849356877,0.9204722871731518
1361.530716746,0.5216490001851182,0.8655041054600393,0.9280028008008269,0.9503870313733916
1361.597269648,0.2798147108510074,0.5705301804026576,0.8531655169066639,0.9735491470510277
1361.66382255,0.3148301744043249,0.47619230035651783,0.8319147466799337,0.9896113936104007
1361.730375452,0.4990705026732027,0.8911304295920174,0.9699800712593117,0.9983329623653779
1361.796928354,0.3626950380334359,0.6172741102917287,0.8840832969742712,0.9995830540793684
1361.8634812560001,0.25620068743509306,0.4566105964918009,0.8296786705552135,0.993342951269514
1361.930034158,0.46629728686052996,0.8658355083989864,0.9497919019570257,0.9797062249692607
1361.99658706,0.45587707369788394,0.6264419786075415,0.8565488642528846,0.9588772912510274
1362.063139962,0.22071649942283994,0.4081677671160826,0.7720765532422422,0.9311684585951274
1362.129692864,0.42527985266214974,0.7922978978525955,0.8699733255603567,0.8969951787788911
1362.196245766,0.5532353327917405,0.5982986435950921,0.7745513030372838,0.8568697715083513
1362.262798668,0.20984870534570071,0.33701565311240356,0.6667920352087903,0.8113938519913294
1362.32935157,0.37820374350422065,0.6789506346577463,0.7408218587890862,0.7612492535190152
1362.395904472,0.6478875056174345,0.5380402749356754,0.6493436194301662,0.707187754770559
1362.462457374,0.22282426340407196,0.25306819478808384,0.5280897303104191,0.6500199096458503
1362.529010276,0.32741073100287443,0.5389704633603638,0.5790540444940342,0.5906028475604721
1362.595563178,0.7327793470237712,0.45493072949851887,0.4978929827943971,0.5298273722239231
