freq (MHz),μ=0.5,μ=0.8,μ=0.9,μ=1.0
0.0,0.4315975947865543,0.36714397572329494,0.4625503274633738,0.5079747826129983
0.03747042594828481,0.0005857693675998347,0.004818309619194875,0.007205124315328295,0.008165407755948336
0.07494085189656963,0.0006654338239210754,0.005177917970951072,0.007743774421051862,0.00877476474929717
0.11241127784485444,0.0008120257629089657,0.005864120158770012,0.008771498446316894,0.009937459695956453
0.14988170379313925,0.0010601421273692447,0.007068944487681147,0.010575694324048923,0.011978733788982364
0.18735212974142407,0.0015029065097317497,0.009282545816437908,0.01389001723159957,0.01572880072669123
0.22482255568970888,0.002448149507236723,0.014099933131350195,0.021101958988360946,0.02388930526144434
0.2622929816379937,0.005719605596098585,0.030944278813803548,0.04631682056085901,0.052421434245253216
0.2997634075862785,0.02730852078456056,0.13972468044519823,0.20915271752826514,0.23666111334507653
0.3372338335345633,0.004385441934278861,0.021341285351529692,0.03194633926220342,0.03613952034264836
0.37470425948284813,0.002489898894314474,0.01157776115617792,0.01733059250020243,0.019600952029695508
0.41217468543113295,0.0017875458088678423,0.00797123579732427,0.011931132163221652,0.013491239956494448
0.44964511137941776,0.0014221175505646395,0.0060992957062811805,0.0091281500369589,0.010319593662004939
0.4871155373277026,0.0011985373338137156,0.004955105951399891,0.007414538336513604,0.008380613936687622
0.5245859632759874,0.0010479959032137864,0.004184003328386579,0.006259409250273905,0.007073565447275194
0.5620563892242723,0.000940017776909086,0.0036292363254675827,0.00542812385674703,0.006132939978915087
0.599526815172557,0.0008590270618861773,0.0032109163600640535,0.00480109727484561,0.005423421191505916
0.6369972411208418,0.0007962310555669635,0.0028841026976191586,0.004311057117091092,0.004868887934841034
0.6744676670691266,0.0007462883904065851,0.0026216040234259964,0.003917299666590274,0.004423283212252144
0.7119380930174115,0.0007057657049323217,0.002406018242373664,0.003593774500269519,0.004057131059826131
0.7494085189656963,0.0006723547566883883,0.0022256990931493093,0.0033230470411871296,0.003750704743498514
0.786878944913981,0.0006444459949089053,0.0020725625950799805,0.003093015095845254,0.003490311297787917
0.8243493708622659,0.0006208825700842054,0.0019408241368119553,0.002895018436572944,0.0032661523995454996
0.8618197968105509,0.0006008115491509355,0.0018262364204403839,0.0027226980961632973,0.003071033596381634
0.8992902227588355,0.0005835902711234127,0.00172561114609923,0.002571280383416845,0.002899554137099124
0.9367606487071203,0.0005687253732310352,0.0016365085359580224,0.002437112131741362,0.002747581089253958
0.9742310746554051,0.000555831908394037,0.0015570298762584574,0.0023173501521647696,0.002611897948567311
1.01170150060369,0.0005446052251169642,0.0014856753427677264,0.0022097484073976105,0.002489963824994831
1.0491719265519748,0.0005348011849363426,0.0014212443693902036,0.00211250886827731,0.002379744688493548
1.0866423525002595,0.0005262219655314977,0.0013627644352327347,0.0020241749093122146,0.00227959274917733
1.1241127784485445,0.0005187056895938114,0.0013094392527449104,0.0019435537459127745,0.00218815869887001
1.1615832043968293,0.0005121187264423858,0.001260610466955093,0.0018696590966081987,0.0021043268374357845
1.199053630345114,0.0005063498948224756,0.0012157289299214976,0.0018016681788153757,0.002027166417462609
1.2365240562933988,0.0005013060403820205,0.0011743328723397156,0.0017388890291373934,0.0019558946708718478
1.2739944822416835,0.0004969086213690953,0.0011360311155664837,0.0016807353691725398,0.0018898483730119566
1.3114649081899685,0.0004930910443226037,0.0011004900172074418,0.0016267070604243311,0.0018284617304977382
1.3489353341382533,0.0004897965643296749,0.0010674232166919624,0.0015763747507592273,0.001771249011417823
1.386405760086538,0.0004869766152932435,0.0010365835040381036,0.0015293676993235162,0.0017177907716409188
1.423876186034823,0.00048458947088959555,0.001007756316163896,0.0014853640380726976,0.0016677228378776125
1.4613466119831078,0.0004825991628256612,0.000980754492693809,0.0014440829187278167,0.0016207274237713923
1.4988170379313925,0.0004809746007077299,0.0009554140154070382,0.0014052781324420238,0.001576525912145659
1.5362874638796773,0.0004796888504168567,0.0009315905226162739,0.0013687328894142023,0.0015348729494285291
1.573757889827962,0.0004787185416998715,0.0009091564382029022,0.001334255519048002,0.0014955515815599238
1.611228315776247,0.0004780433751182883,0.0008879985930470759,0.0013016759067792337,0.0014583692230983793
1.6486987417245318,0.00047764571337000116,0.0008680162421278454,0.001270842523700994,0.0014231542970345949
1.6861691676728165,0.0004775102392911821,0.0008491194034147468,0.0012416199377040416,0.0013897534191874953
1.7236395936211018,0.00047762366818102705,0.0008312274579386277,0.0012138867155532947,0.0013580290248004047
1.7611100195693863,0.0004779745066629784,0.0008142679655639072,0.0011875336480434587,0.0013278573605952347
1.798580445517671,0.00047855284814429507,0.0007981756577080835,0.0011624622398373257,0.001299126776142853
1.8360508714659558,0.0004793502002623663,0.0007828915773229658,0.001138583419792928,0.001271736264602886
1.8735212974142406,0.00048035933824394156,0.0007683623413856993,0.0011158164346467378,0.0012455942108200635
1.9109917233625258,0.00048157418066710846,0.000754539506275843,0.001094087896574067,0.0012206173134024702
1.9484621493108103,0.00048298968405471497,0.0007413790192689271,0.001073330959657543,0.0011967296525591162
1.985932575259095,0.00048460175356864935,0.000728840743492422,0.0010534846060613835,0.001173861881909638
2.02340300120738,0.000486407167292291,0.0007168880443491425,0.0010344930244111825,0.0011519505246287368
2.060873427155665,0.000488403512957984,0.0007054874291181914,0.001016305067326923,0.0011309373589169513
2.0983438531039496,0.0004905891344777608,0.0006946082315402266,0.000998873776227595,0.0011107688795234934
2.1358142790522345,0.0004929630883380767,0.0006842223352041904,0.0009821559641803995,0.0010913958248649114
2.173284705000519,0.0004955251075058473,0.0006743039303208538,0.0009661118483976996,0.0010727727601606662
2.210755130948804,0.0004982755730289752,0.0006648292991715145,0.0009507047254463539,0.001054857708771603
2.248225556897089,0.0005012154919049794,0.000655776627396628,0.0009359006849873888,0.0010376118270532966
2.2856959828453736,0.0005043464813876694,0.0006471258359233168,0.0009216683540105947,0.001020999113500396
2.3231664087936585,0.0005076707582620559,0.0006388584328429262,0.0009079786707698044,0.001004986151432932
2.3606368347419435,0.0005111911342929016,0.0006309573816965318,0.0008948046829664663,0.0009895418789325247
2.398107260690228,0.0005149110153366554,0.0006234069846019537,0.0008821213674550029,0.000974637382899475
2.435577686638513,0.0005188344068633144,0.0006161927781390554,0.0008699054692156389,0.0009602457148707469
2.4730481125867976,0.0005229659228656862,0.0006093014409060184,0.0008581353568371699,0.0009463417251921109
2.5105185385350826,0.0005273108006866331,0.0006027207114204426,0.000846790893319899,0.0009329019144013833
2.547988964483367,0.0005318749196389351,0.0005964393149896609,0.0008358533195606929,0.0009199042986803593
2.585459390431652,0.0005366648252184747,0.00059044689887401,0.0008253051497768744,0.0009073282886031495
2.622929816379937,0.000541687758294337,0.0005847339749826027,0.0008151300775144482,0.0008951545795682388
2.6604002423282216,0.000546951689683566,0.0005792918691555478,0.0008053128906786745,0.0008833650521407695
2.6978706682765066,0.0005524653605857206,0.0005741126767121516,0.000795839395259538,0.0008719426819167135
2.7353410942247915,0.0005582383292060835,0.000569189223651823,0.0007866963465110801,0.0008608714574539567
2.772811520173076,0.0005642810240059505,0.0005645150330228182,0.0007778713869326463,0.0008501363055287188
2.810281946121361,0.0005706048047369145,0.0005600842962116847,0.0007693529902216715,0.0008397230226244569
2.847752372069646,0.0005772220312900533,0.0005558918491276224,0.0007611304116366631,0.000829618213297837
2.8852227980179306,0.0005841461416853187,0.000551933152399825,0.0007531936425585075,0.0008198092326682026
2.9226932239662156,0.0005913917404183333,0.0005482042760787029,0.0007455333705862256,0.0008102841346672886
2.9601636499145,0.0005989746978013737,0.0005447018884900017,0.0007381409434753504,0.0008010316238274321
2.997634075862785,0.0006069122623982286,0.0005414232491038366,0.0007310083375174212,0.0007920410114851062
3.03510450181107,0.0006152231879012418,0.0005383662058381449,0.0007241281299576461,0.000783302175666697
3.0725749277593546,0.0006239278763407425,0.0005355291961604248,0.0007174934744855771,0.0007748055235274923
3.1100453537076396,0.0006330485403905564,0.0005329112528881378,0.0007110980806984455,0.0007665419572394613
3.147515779655924,0.0006426093869264048,0.0005305120144208535,0.0007049361967627151,0.0007585028423558859
3.184986205604209,0.000652636825750976,0.0005283317400248932,0.0006990025956323189,0.000750679978871299
3.222456631552494,0.0006631597065380366,0.0005263713298098583,0.0006932925637041574,0.0007430655735767168
3.2599270575007786,0.0006742095897816509,0.0005246323512669653,0.0006878018939406176,0.0007356522157796776
3.2973974834490636,0.0006858210549293922,0.0005231170713373242,0.0006825268811922012,0.0007284328536780282
3.334867909397349,0.0006980320554483125,0.0005218284958921495,0.000677464321398051,0.0007214007729639336
3.372338335345633,0.0007108843254611932,0.000520770417311834,0.0006726115144670333,0.0007145495771901893
3.409808761293918,0.0007244238493732643,0.0005199474705748096,0.0006679662700769769,0.0007078731687154426
3.4472791872422035,0.0007387014049652823,0.0005193652004396131,0.0006635269181597148,0.000701365731792283
3.4847496131904876,0.0007537731942883906,0.000519030140225364,0.0006592923232060988,0.0006950217165455679
3.5222200391387726,0.0007697015790160044,0.000518949905035178,0.0006552619029985728,0.0006888358237951936
3.559690465087057,0.0007865559416357014,0.0005191333018977694,0.0006514356526944017,0.0006828029913558979
3.597160891035342,0.0008044136973664254,0.0005195904594626951,0.0006478141738834218,0.0006769183807810481
3.6346313169836275,0.0008233614906326132,0.0005203329823792221,0.0006443987101834221,0.0006711773653156294
3.6721017429319116,0.0008434966149862991,0.0005213741348068108,0.0006411911895471445,0.0006655755186315307
3.7095721688801966,0.0008649287085779751,0.0005227290599546,0.0006381942740537865,0.000660108604016207
3.747042594828481,0.0008877817896946601,0.0005244150444550998,0.0006354114184811559,0.0006547725644348456
3.784513020776766,0.0009121967162325144,0.0005264518391198542,0.0006328469388023742,0.0006495635133505354
3.8219834467250515,0.0009383341764168212,0.0005288620510053868,0.0006305060914405821,0.0006444777257681855
3.8594538726733356,0.0009663783525733353,0.0005316716282367458,0.0006283951656274269,0.0006395116303001032
3.8969242986216206,0.0009965414432469278,0.0005349104645406792,0.0006265215891248029,0.0006346618008376257
3.934394724569906,0.001029069292495728,0.0005386131653544213,0.000624894051671166,0.0006299249503312578
3.97186515051819,0.0010642484603649205,0.000542820028858463,0.0006235226448928027,0.0006252979230733059
4.0093355764664755,0.0011024151937854907,0.0005475783258411055,0.0006224190238803281,0.0006207776886833806
4.04680600241476,0.0011439669283935462,0.0005529439961963619,0.0006215965910450663,0.0006163613359970729
