τ_vals,μ=1.0,μ=0.9,μ=0.8,μ=0.5
1360.0,0.4883094147694518,0.686276137404118,0.8455682629211652,0.5674953354384569
1360.066552902,0.5510237337728953,0.7413147769281653,0.8920500706764507,0.7478541865467466
1360.133105804,0.6150614538184729,0.7927986742607174,0.9236475272329765,0.754762501495304
1360.199658706,0.6704925676464382,0.8407479463002556,0.9493458415522902,0.5522891678627605
1360.266211608,0.7289862237015772,0.8827902225542233,0.9748402747668271,0.7111037571461498
1360.33276451,0.7844292500306398,0.9191743125367996,0.9900421536186582,0.7140941505124612
1360.399317412,0.8290676780011441,0.9496360190324773,0.9932713156902095,0.5035840081377825
1360.465870314,0.8746406381145679,0.9723951293575073,0.9942054252975865,0.6386451515591163
1360.532423216,0.9139247190614325,0.988294819225994,0.9899855480242716,0.6371292778900669
1360.598976118,0.9406543135939671,0.9970688610434972,0.9706132234410022,0.42806252552007557
1360.66552902,0.9670322204272787,0.9974808550713102,0.9473745084723604,0.540485874753617
1360.732081922,0.9860694489180268,0.9909217242426448,0.9234072625094694,0.5333227602581648
1360.798634824,0.9912987064689891,0.9773900447935417,0.8845648268872156,0.3362350191741318
1360.865187726,0.9955101295227031,0.955972158434347,0.8413827903672801,0.42995505100868825
1360.931740628,0.9936619357181025,0.9283357459416927,0.800193948766669,0.4157711758140534
1360.99829353,0.9772656282210388,0.8949439050759429,0.7472323315388266,0.24105399366696584
1361.064846432,0.9591181980186997,0.8550050900225257,0.6910266868685905,0.3218618407908806
1361.131399334,0.937911718481605,0.8101061410846713,0.6375719545928266,0.29934798834841553
1361.197952236,0.9021664893581571,0.7613081507177082,0.5769153173985564,0.15618880649525602
1361.264505138,0.8634578852697739,0.7079287777249167,0.51580335835779,0.23051862259353323
1361.33105804,0.8255626814868167,0.6512033596484864,0.4568830942033399,0.19857856457815243
1361.397610942,0.7744173801517391,0.5928334393990612,0.3954536578845442,0.09422001724503143
1361.464163844,0.7189830096414113,0.5324114956869282,0.33758024851848806,0.16796027754454013
1361.530716746,0.6684293542943684,0.4707179365618367,0.28123580244800356,0.12564507703572816
1361.597269648,0.6076733625331148,0.4099683087963679,0.2263894604169603,0.06495362554866035
1361.66382255,0.5421134535392959,0.3501852631031598,0.17917123831789566,0.14253759220157475
1361.730375452,0.48517459521715833,0.2917177980802975,0.13378784990156856,0.08879332201483295
1361.796928354,0.42268853550801666,0.23694154419518426,0.09303889308694271,0.07399386342147359
1361.8634812560001,0.3564208156558628,0.18624948366742267,0.06244458844113275,0.15792993912810732
1361.930034158,0.3015736618755746,0.13963973789603165,0.03528864686742815,0.09128968409814113
1361.99658706,0.24639210935186548,0.09913540395846301,0.015214961956859362,0.1217395129524194
