freq (MHz),μ=1.0,μ=0.9,μ=0.8,μ=0.5
0.0,0.5063558790024874,0.46086649551966813,0.3661978734738171,0.4315898430963246
0.03747042594828481,0.006846368970607269,0.0063063962139160434,0.004336346115938766,0.0005832119750925014
0.07494085189656963,0.007492964220827131,0.0068669066613264934,0.004706391379509749,0.000663041940426536
0.11241127784485444,0.008710799038710137,0.007926794876743293,0.005407855639047825,0.0008098549228565524
0.14988170379313925,0.010817587974168721,0.009768348222880472,0.0066300465827378524,0.0010582206016846872
0.18735212974142407,0.014636430607279975,0.013119174076917477,0.00885948350555163,0.0015012784095415658
0.22482255568970888,0.022862148820502613,0.020356959062116157,0.013684160496352895,0.002446967615561968
0.2622929816379937,0.05144053596621618,0.04554491632136729,0.03049380688549737,0.005719689925979406
0.2997634075862785,0.23735242443271948,0.209155962531548,0.13956625590155217,0.02732041207253821
0.3372338335345633,0.036928633056668554,0.032414559719572314,0.02156952735154754,0.004388949627220888
0.37470425948284813,0.02034949546481624,0.01780468148729636,0.01182077342381898,0.0024926936602498373
0.41217468543113295,0.014196029327023452,0.012388033886707586,0.008209444384569253,0.001790071146648277
0.44964511137941776,0.010982810345939486,0.009563364469891445,0.006328215396425975,0.0014245013721422574
0.4871155373277026,0.00900510572712182,0.007827442154335496,0.005173516945736102,0.0012008315863587845
0.5245859632759874,0.007661452195718471,0.006650104720137863,0.004391512726151021,0.0010502159060789037
0.5620563892242723,0.006680692472893569,0.005793401829738242,0.003823966062550087,0.0009420938335489959
0.599526815172557,0.005982198450289279,0.005175397511069398,0.0034102671469992208,0.0008616171032265179
0.6369972411208418,0.005382862818726132,0.004655911500290001,0.003068405779026742,0.0007985647697497854
0.6744676670691266,0.004910516398949884,0.00424479453012826,0.0027969623114546707,0.0007485822451083749
0.7119380930174115,0.0045213165305987586,0.003906256152481341,0.002573598208069881,0.0007080462879123977
0.7494085189656963,0.0041941550613183685,0.003621962918522155,0.0023862224964937397,0.0006746319571649685
0.786878944913981,0.003914852802687504,0.003379511745198071,0.0022266063292380235,0.0006467249484653112
0.8243493708622659,0.0036733340776822,0.003170075414965077,0.002088885488597738,0.0006231663670745699
0.8618197968105509,0.0034622072974219795,0.0029871767894251613,0.001968756020145144,0.000603102190322648
0.8992902227588355,0.0032759144330687428,0.0028259474558616944,0.0018629838031032574,0.0005858890766865234
0.9367606487071203,0.003110196546866883,0.0026826571543629362,0.0017690910551244902,0.0005710332640380293
