freq (MHz),μ=1.0,μ=0.9,μ=0.8,μ=0.5
0.0,0.5045011276794911,0.5026944282232866,0.49831653804233456,0.391250073319766
0.03747042594828481,0.006714986956907671,0.0029638799325574154,0.002207659966122298,0.005320090659614028
0.07494085189656963,0.007365712657740816,0.003998325246448478,0.0034387185846325966,0.00567331400556667
0.11241127784485444,0.008589446008823097,0.005632822585482796,0.0052029748541832874,0.006350155521805344
0.14988170379313925,0.010703037830211292,0.00810910332541952,0.007757421530766347,0.007544643377953825
0.18735212974142407,0.014529204088461952,0.012232607991443314,0.011924729793236322,0.009750479677523655
0.22482255568970888,0.022763659868510245,0.020694587536251217,0.020398102901659734,0.014571584722936072
0.2622929816379937,0.05136033234797567,0.049402639836974196,0.04903502042520728,0.03147856718212979
0.2997634075862785,0.23758419950135376,0.23836056378063025,0.2376836767473606,0.14005537288674771
0.3372338335345633,0.0370541572819826,0.03838342238076514,0.038397272919777736,0.021106656532785647
0.37470425948284813,0.02046842333553207,0.021733034737550137,0.021790792760654237,0.011314647449344344
0.41217468543113295,0.014316761364174029,0.015499431712805635,0.015566821041105522,0.007709685204430498
0.44964511137941776,0.011111391118412247,0.012218130211134971,0.01228683634268854,0.0058479219695844135
0.4871155373277026,0.009150763772393919,0.010192657109052565,0.010260236306657577,0.004718804057599578
0.5245859632759874,0.007847133176899508,0.008841761348011528,0.008908580601485038,0.003970296004856182
0.5620563892242723,0.007031681775072741,0.008044485988865025,0.008118807744891803,0.0034765718644151388
0.599526815172557,0.005625116143412532,0.0062522091252271384,0.006260378753065091,0.002841048812983582
0.6369972411208418,0.005358881583483158,0.006086745056355502,0.006120717914412225,0.0026302757992491105
0.6744676670691266,0.004948512382821305,0.005654912329208841,0.005687128184307478,0.0023936464651824595
0.7119380930174115,0.004596829393856591,0.005269762749084659,0.00529621610529693,0.002193884598546513
0.7494085189656963,0.004308555825447643,0.004943667908132304,0.004960832847853746,0.0020261723083324816
0.786878944913981,0.004088049929279705,0.004678901533615849,0.004680134723604139,0.0018845239659610743
0.8243493708622659,0.003977335214937118,0.004502226100600185,0.004467529667945207,0.001765241039827319
0.8618197968105509,0.004475318637505619,0.004750152816323916,0.004523018060407637,0.0016783399537713675
0.8992902227588355,0.002519204274315787,0.0033040308428879538,0.0035548836208757835,0.0015320200355583582
0.9367606487071203,0.0028292716277174687,0.0034655296003852252,0.0035853073980845244,0.0014653375670810227
0.9742310746554051,0.0027904228997183223,0.003374847062968963,0.0034638313928322755,0.0013954743095374407
1.01170150060369,0.0027051420088167392,0.0032567622370578532,0.003331474663251954,0.0013314363168500712
1.0491719265519748,0.002611151435302777,0.003137420768399597,0.003203617276100292,0.0012733185852213252
1.0866423525002595,0.0025179986538509387,0.0030229642205811522,0.0030833671017464494,0.0012205339200550666
1.1241127784485445,0.0024284623967415976,0.0029148525352978,0.002971063316307045,0.0011724506665146165
1.1615832043968293,0.0023394858179989135,0.0028106734001111977,0.002864908913195517,0.0011284620751056196
1.199053630345114,0.0022695672523686543,0.002722207883335354,0.002770967941840774,0.0010882546695410267
1.2365240562933988,0.002194109256126676,0.002633053472327912,0.00267984950591391,0.001051171356044409
1.2739944822416835,0.002124376867863383,0.0025502549254099315,0.0025950931323860177,0.001016962215374698
1.3114649081899685,0.002059155191518279,0.0024727782103296453,0.0025158476450868367,0.0009853096856774109
1.3489353341382533,0.0019979772081692407,0.002400098652073816,0.0024415758416429724,0.0009559462556664789
1.386405760086538,0.0019404843345620674,0.002331787889702346,0.0023718241670346424,0.0009286413902531559
1.423876186034823,0.00188636061647058,0.0022674686536839077,0.0023061937991489625,0.0009031951112301986
1.4613466119831078,0.0018351324900811527,0.0022067202811830553,0.002244299549087154,0.0008794328101023917
1.4988170379313925,0.0017872193587329314,0.0021495405232477937,0.0021859381194490493,0.000857202964289179
1.5362874638796773,0.0017416568884021813,0.002095333886483208,0.002130706797599127,0.0008363702891923819
1.573757889827962,0.001698520664378159,0.0020439830205294233,0.002078400712980733,0.0008168168959780203
1.611228315776247,0.001657619792366728,0.0019952677655971406,0.002028793377758861,0.0007984379942383985
1.6486987417245318,0.0016187867183673245,0.0019489917255123982,0.001981681849543335,0.0007811404897581927
1.6861691676728165,0.0015818705021041295,0.001904977696019625,0.00193688321555171,0.0007648414121755229
1.7236395936211018,0.0015467344867256712,0.0018630652507276464,0.0018942321372600322,0.0007494665942644712
1.7611100195693863,0.0015132541089047475,0.001823108652571765,0.001853578755247219,0.0007349495549827141
1.798580445517671,0.0014813178592960293,0.0017849758791692164,0.001814787076403899,0.0007212305498425754
1.8360508714659558,0.0014508216398879843,0.001748545891676803,0.0017777331348493516,0.0007082557598418711
1.8735212974142406,0.0014216718964721623,0.0017137085928589284,0.0017423039405206897,0.0006959765975006092
1.9109917233625258,0.0013937827168912108,0.0016803631500672438,0.0017083961785760472,0.0006843491095958216
1.9484621493108103,0.0013670753635174936,0.001648417127747086,0.0016759152127821535,0.000673333461965925
