τ_vals,μ=1.0,μ=0.9,μ=0.8,μ=0.5
1360.0,0.02079095854062657,0.029678311197151877,0.05787534294417798,0.2480656518298508
1360.066552902,0.0069530633720207525,0.027981737378272073,0.13564926805706318,0.9128911522858763
1360.133105804,0.0004984876179218675,0.01120495713743877,0.04899735586180048,0.3414484745412078
1360.199658706,0.0015369276225677127,0.0071475586485712245,0.013806314213856467,0.2015800258462095
1360.266211608,0.010043406659555323,0.0324353005641843,0.13171686071814306,0.891351059489612
1360.33276451,0.025906840346912693,0.05440074212959057,0.11986848748383253,0.39519275654037095
1360.399317412,0.048874002257924744,0.045306799327670386,0.016402905459345,0.16315400107891087
1360.465870314,0.07858501126287477,0.09153593084205133,0.15617937931717527,0.842786338010277
1360.532423216,0.11464562264140488,0.152654926116887,0.2273692303531273,0.44373674998760826
1360.598976118,0.1564712163869339,0.13832865733413321,0.06295140255576813,0.13689604084667664
1360.66552902,0.20340770256698384,0.1969380226807413,0.20438781270831136,0.771356617479668
1360.732081922,0.2548410787446702,0.2939343148625616,0.360670234858425,0.48358662752026427
1360.798634824,0.3099316106806973,0.2731977811159498,0.1454146147406672,0.1264593150420575
1360.865187726,0.36781058088980345,0.33399487139056,0.2680817146666622,0.6831357140605465
1360.931740628,0.42773722469870495,0.460383607424466,0.5052833921171958,0.5122375623170556
1360.99829353,0.48872749226921497,0.4314760817174482,0.25157946234172274,0.13464644758818745
1361.064846432,0.5498062966614556,0.48376269999978394,0.33662876454300034,0.5855367383890295
1361.131399334,0.6102155310639197,0.630669675711845,0.6448218230116297,0.5282153192059954
1361.197952236,0.6689566667064333,0.5917804838065425,0.36671574758215425,0.16304126433680782
1361.264505138,0.7250709987536517,0.6255851662834858,0.3986086315765276,0.48661226146041303
1361.33105804,0.7778943148794697,0.7827951525068021,0.7630360087761342,0.5310211174511988
1361.397610942,0.8265442527268397,0.7326373714334272,0.47552126795304167,0.21171542036211097
1361.464163844,0.8701993231010368,0.7399058152862464,0.4435164728516135,0.39430268758474024
1361.530716746,0.9083881264199819,0.8970042417926164,0.8458623649466719,0.5210060355343191
1361.597269648,0.9404578652941404,0.8353301557198282,0.564094163230578,0.2790538389792972
1361.66382255,0.9658267145349233,0.8109278261732904,0.4633455512621856,0.3157105108649615
1361.730375452,0.9842905582399473,0.9583940496546376,0.8832185360696134,0.4992063234387383
1361.796928354,0.9955071731282634,0.886361382328337,0.6216744285307256,0.3617327792599711
1361.8634812560001,0.999204257668763,0.8287641013431732,0.45382574814283116,0.2564737737147402
